WOT-DATA,2
{{ID}},TopTurretBase
{{EN}},Base visibility with top turret.
{{RU}},Базовый обзор из топ башни.
france-F30_RenaultFT_AC,300,#377
france-F32_Somua_Sau_40,330,#377
france-F33_S_35CA,340,#377
france-F33_S_35CA_IGR,340,#377
france-F34_ARL_V39,350,#377
france-F35_AMX_AC_Mle1946,350,#377
france-F36_AMX_AC_Mle1948,370,#377
france-F36_AMX_AC_Mle1948_IGR,370,#377
france-F37_AMX50_Foch,380,#377
france-F38_Bat_Chatillon155_58,280,#377
france-F42_AMR_35,320,#377
france-F44_Somua_S35,330,#377
france-F49_RenaultR35,300,#377
france-F50_FCM36_20t,280,#377
france-F52_RenaultUE57,320,#377
france-F62_ELC_AMX,360,#377
france-F62_ELC_AMX_IGR,360,#377
france-F64_AMX_50Fosh_155,380,#377
france-F64_AMX_50Fosh_B,380,#377
france-F65_FCM_50t,400,#377
france-F66_AMX_Ob_Am105,260,#377
france-F67_Bat_Chatillon155_55,270,#377
france-F68_AMX_Chasseur_de_char_46,390,#377
france-F69_AMX13_57_100,390,#377
france-F69_AMX13_57_100_GrandFinal,390,#377
france-F70_SARL42,330,#377
france-F71_AMX_30_prototype,390,#377
france-F72_AMX_30,410,#377
france-F73_M4A1_Revalorise,390,#377
france-F73_M4A1_Revalorise_FL,390,#377
france-F74_AMX_M4_1949,370,#377
france-F74_AMX_M4_1949_FL,370,#377
france-F74_AMX_M4_1949_Liberte,370,#377
france-F75_Char_de_25t,380,#377
france-F81_Char_de_65t,370,#377
france-F82_AMX_M4_Mle1949_Ter,390,#377
france-F83_AMX_M4_Mle1949_Bis,380,#377
france-F84_Somua_SM,370,#377
france-F85_M4A1_FL10,370,#377
france-F87_Batignolles-Chatillon_12t,380,#377
france-F88_AMX_13_105,390,#377
france-F89_Canon_dassaut_de_105,360,#377
france-F97_ELC_EVEN_90,380,#377
france-F97_ELC_EVEN_90_FL,380,#377
germany-Env_Artillery,360,#377
germany-G02_Hummel,265,#377
germany-G03_PzV_Panther,380,#377
germany-G03_PzV_Panther_bootcamp,370,#377
germany-G03_PzV_Panther_IGR,380,#377
germany-G03_PzV_Panther_training,350,#377
germany-G04_PzVI_Tiger_I,380,#377
germany-G04_PzVI_Tiger_I_IGR,380,#377
germany-G04_PzVI_Tiger_IA,380,#377
germany-G05_StuG_40_AusfG,310,#377
germany-G05_StuG_40_AusfG_IGR,310,#377
germany-G06_PzII,320,#377
germany-G06_PzII_bot,290,#377
germany-G07_Pz35t,320,#377
germany-G08_Pz38t,330,#377
germany-G08_Pz38t_bootcamp,310,#377
germany-G09_Hetzer,260,#377
germany-G10_PzIII_AusfJ,330,#377
germany-G10_PzIII_AusfJ_training,330,#377
germany-G100_Gtraktor_Krupp,330,#377
germany-G101_StuG_III,310,#377
germany-G102_Pz_III,320,#377
germany-G102_Pz_III_bootcamp,320,#377
germany-G103_RU_251,410,#377
germany-G104_Stug_IV,310,#377
germany-G105_T-55_NVA_DDR,395,#377
germany-G106_PzKpfwPanther_AusfF,390,#377
germany-G107_PzKpfwIII_AusfK,350,#377
germany-G108_PzKpfwII_AusfD,320,#377
germany-G109_Steyr_WT,360,#377
germany-G11_Bison_I,245,#377
germany-G110_Typ_205,400,#377
germany-G112_KanonenJagdPanzer,360,#377
germany-G112_KanonenJagdPanzer_105,360,#377
germany-G113_SP_I_C,390,#377
germany-G114_Rheinmetall_Skorpian,360,#377
germany-G114_Skorpian,360,#377
germany-G115_Typ_205_4_Jun,400,#377
germany-G115_Typ_205B,400,#377
germany-G116_Turan_III_prot,330,#377
germany-G117_Toldi_III,270,#377
germany-G117_Toldi_III_bootcamp,270,#377
germany-G118_VK4503,380,#377
germany-G119_Panzer58,390,#377
germany-G119_Panzer58_BF,390,#377
germany-G119_Panzer58_FL,390,#377
germany-G119_Pz58_Mutz,390,#377
germany-G12_Ltraktor,310,#377
germany-G12_Ltraktor_bot,260,#377
germany-G120_M41_90,400,#377
germany-G120_M41_90_GrandFinal,400,#377
germany-G121_Grille_15_L63,390,#377
germany-G122_VK6501H,360,#377
germany-G125_Spz_57_Rh,420,#377
germany-G126_HWK_12,410,#377
germany-G13_VK3001H,360,#377
germany-G134_PzKpfw_VII,400,#377
germany-G134_PzKpfw_VII_bob,400,#377
germany-G136_Tiger_131,370,#377
germany-G137_PzVI_Tiger_217,370,#377
germany-G138_VK168_02,400,#377
germany-G138_VK168_02_Mauerbrecher,400,#377
germany-G139_MKA,320,#377
germany-G140_HWK_30,410,#377
germany-G141_VK7501K,380,#377
germany-G142_M48RPz,380,#377
germany-G143_E75_TS,390,#377
germany-G144_Kpz_50t,400,#377
germany-G15_VK3601H,370,#377
germany-G16_PzVIB_Tiger_II,390,#377
germany-G16_PzVIB_Tiger_II_F,380,#377
germany-G16_PzVIB_Tiger_II_IGR,390,#377
germany-G16_PzVIB_Tiger_II_training,400,#377
germany-G17_JagdPzIV,350,#377
germany-G18_JagdPanther,350,#377
germany-G19_Wespe,250,#377
germany-G20_Marder_II,310,#377
germany-G21_PanzerJager_I,300,#377
germany-G21_PanzerJager_I_bootcamp,300,#377
germany-G22_Sturmpanzer_II,255,#377
germany-G23_Grille,260,#377
germany-G24_VK3002DB,380,#377
germany-G25_PzII_Luchs,360,#377
germany-G26_VK1602,360,#377
germany-G27_VK3001P,370,#377
germany-G28_PzIII_IV,350,#377
germany-G32_PzV_PzIV,365,#377
germany-G32_PzV_PzIV_ausf_Alfa,365,#377
germany-G32_PzV_PzIV_ausf_Alfa_CN,365,#377
germany-G32_PzV_PzIV_CN,365,#377
germany-G33_H39_captured,330,#377
germany-G34_S35_captured,330,#377
germany-G35_B-1bis_captured,330,#377
germany-G36_PzII_J,320,#377
germany-G37_Ferdinand,370,#377
germany-G37_Ferdinand_IGR,370,#377
germany-G39_Marder_III,320,#377
germany-G40_Nashorn,360,#377
germany-G41_DickerMax,400,#377
germany-G42_Maus,400,#377
germany-G42_Maus_IGR,400,#377
germany-G43_Sturer_Emil,370,#377
germany-G44_JagdTiger,390,#377
germany-G44_JagdTigerH,370,#377
germany-G45_G_Tiger,295,#377
germany-G46_T-25,320,#377
germany-G48_E-25,360,#377
germany-G48_E-25_IGR,360,#377
germany-G49_G_Panther,275,#377
germany-G50_T-15,350,#377
germany-G51_Lowe,400,#377
germany-G51_Lowe_FL,400,#377
germany-G52_Pz38_NA,370,#377
germany-G53_PzI,320,#377
germany-G54_E-50,400,#377
germany-G55_E-75,400,#377
germany-G56_E-100,400,#377
germany-G57_PzVI_Tiger_P,380,#377
germany-G58_VK4502P,400,#377
germany-G58_VK4502P7,370,#377
germany-G61_G_E,310,#377
germany-G62_Roket_Sturmtiger,450,#377
germany-G63_PzI_ausf_C,340,#377
germany-G64_Panther_II,390,#377
germany-G64_Panther_II_IGR,390,#377
germany-G65_JagdTiger_SdKfz_185,390,#377
germany-G65_JagdTiger_SdKfz_185_IGR,390,#377
germany-G66_VK2801,380,#377
germany-G67_VK4502A,390,#377
germany-G70_PzIV_Hydro,330,#377
germany-G71_JagdPantherII,360,#377
germany-G72_JagdPz_E100,390,#377
germany-G73_E50_Ausf_M,400,#377
germany-G76_Pz_Sfl_IVc,340,#377
germany-G77_PzIV_Schmalturm,370,#377
germany-G78_Panther_M10,365,#377
germany-G79_Pz_IV_AusfGH,330,#377
germany-G80_Pz_IV_AusfD,340,#377
germany-G80_Pz_IV_AusfD_bootcamp,330,#377
germany-G81_Pz_IV_AusfH,350,#377
germany-G82_Pz_II_AusfG,330,#377
germany-G83_Pz_IV_AusfA,330,#377
germany-G85_Auf_Panther,380,#377
germany-G85_Aufklarungspanzer_V,400,#377
germany-G86_VK2001DB,330,#377
germany-G87_VK3002DB_V1,370,#377
germany-G88_Indien_Panzer,380,#377
germany-G89_Leopard1,410,#377
germany-G90_DW_II,330,#377
germany-G91_Pro_Ag_A,400,#377
germany-G92_VK7201,400,#377
germany-G93_GW_Mk_VIe,250,#377
germany-G94_GW_Tiger_P,290,#377
germany-G95_Pz_Sfl_IVb,255,#377
germany-G96_VK3002M,370,#377
germany-G97_Waffentrager_IV,370,#377
germany-G98_Waffentrager_E100,380,#377
germany-G98_Waffentrager_E100_P,380,#377
germany-G99_RhB_Waffentrager,360,#377
italy-It03_M15_42,320,#377
italy-It04_Fiat_3000,280,#377
italy-It05_Carro_L6_40,320,#377
italy-It06_M14_41,300,#377
italy-It07_P26_40,330,#377
italy-It08_Progetto_M40_mod_65,400,#377
italy-It08_Progetto_M40_mod_65_bob,400,#377
italy-It09_P43_ter,380,#377
italy-It10_P43_bis,360,#377
italy-It11_P43,350,#377
italy-It12_Prototipo_Standard_B,390,#377
italy-It13_Progetto_M35_mod_46,390,#377
italy-It14_P44_Pantera,380,#377
japan-J01_NC27,280,#377
japan-J01_NC27_bot,250,#377
japan-J02_Te_Ke,300,#377
japan-J03_Ha_Go,300,#377
japan-J04_Ke_Ni,310,#377
japan-J04_Ke_Ni_bootcamp,310,#377
japan-J05_Ke_Ni_B,310,#377
japan-J06_Ke_Ho,340,#377
japan-J07_Chi_Ha,330,#377
japan-J08_Chi_Nu,350,#377
japan-J09_Chi_He,340,#377
japan-J10_Chi_To,360,#377
japan-J11_Chi_Ri,370,#377
japan-J11_Chi_Ri_IGR,370,#377
japan-J12_Chi_Nu_Kai,350,#377
japan-J13_STA_1,390,#377
japan-J13_STA_1_IGR,390,#377
japan-J14_Type_61,400,#377
japan-J15_Chi_Ni,300,#377
japan-J16_ST_B1,400,#377
japan-J16_ST_B1_IGR,410,#377
japan-J18_STA_2_3,380,#377
japan-J19_Tiger_I_Jpn,370,#377
japan-J20_Type_2605,400,#377
japan-J21_Type_91,330,#377
japan-J22_Type_95,340,#377
japan-J22_Type_95_bootcamp,340,#377
japan-J23_Mi_To,360,#377
japan-J24_Mi_To_130_tons,370,#377
japan-J25_Type_4,390,#377
japan-J26_Type_89,320,#377
japan-J27_O_I_120,380,#377
japan-J28_O_I_100,380,#377
japan-J29_Nameless,370,#377
japan-J30_Edelweiss,390,#377
poland-Pl01_TKS_20mm,290,#377
poland-Pl03_PzV_Poland,370,#377
poland-Pl05_50TP_Tyszkiewicza,380,#377
poland-Pl06_10TP,310,#377
poland-Pl07_14TP,330,#377
poland-Pl08_50TP_prototyp,380,#377
poland-Pl09_7TP,300,#377
poland-Pl10_40TP_Habicha,360,#377
poland-Pl11_45TP_Habicha,350,#377
poland-Pl12_25TP_KSUST_II,350,#377
poland-Pl13_53TP_Markowskiego,370,#377
poland-Pl14_4TP,280,#377
poland-Pl15_60TP_Lewandowskiego,390,#377
poland-Pl16_T34_85_Rudy,365,#377
sweden-S01_Strv_74_A2,350,#377
sweden-S02_Strv_M42,350,#377
sweden-S03_Strv_M38,300,#377
sweden-S04_Lago_I,330,#377
sweden-S05_Strv_M21_29,290,#377
sweden-S06_Ikv_90_Typ_B_Bofors,340,#377
sweden-S07_Strv_74,360,#377
sweden-S08_Ikv_65_Alt_2,330,#377
sweden-S09_L_120_TD,280,#377
sweden-S10_Strv_103_0_Series,360,#377
sweden-S11_Strv_103B,360,#377
sweden-S12_Strv_M40,320,#377
sweden-S13_Leo,370,#377
sweden-S14_Ikv_103,340,#377
sweden-S15_L_60,280,#377
sweden-S16_Kranvagn,390,#377
sweden-S17_EMIL_1952_E2,380,#377
sweden-S18_EMIL_1951_E1,360,#377
sweden-S19_Sav_M43,310,#377
sweden-S20_Ikv_72,300,#377
sweden-S21_UDES_03,350,#377
sweden-S22_Strv_S1,350,#377
sweden-S22_Strv_S1_FL,350,#377
sweden-S23_Strv_81,400,#377
sweden-S23_Strv_81_sabaton,400,#377
sweden-S25_EMIL_51,360,#377
sweden-S26_Lansen_C,380,#377
sweden-S27_UDES_16,390,#377
sweden-S28_UDES_15_16,390,#377
sweden-S28_UDES_15_16_bob,390,#377
sweden-S29_UDES_14_5,390,#377
sweden-S30_UDES_03_Alt_3,380,#377
sweden-S31_Strv_K,400,#377
uk-GB01_Medium_Mark_I,280,#377
uk-GB01_Medium_Mark_I_bot,260,#377
uk-GB03_Cruiser_Mk_I,280,#377
uk-GB04_Valentine,320,#377
uk-GB05_Vickers_Medium_Mk_II,300,#377
uk-GB05_Vickers_Medium_Mk_II_bot,280,#377
uk-GB06_Vickers_Medium_Mk_III,330,#377
uk-GB07_Matilda,340,#377
uk-GB08_Churchill_I,350,#377
uk-GB08_Churchill_I_IGR,350,#377
uk-GB09_Churchill_VII,360,#377
uk-GB10_Black_Prince,370,#377
uk-GB100_Manticore,400,#377
uk-GB101_FV1066_Senlac,400,#377
uk-GB102_LHMTV,380,#377
uk-GB103_GSOR3301_AVR_FS,390,#377
uk-GB104_GSR_3301_Setter,370,#377
uk-GB105_Black_Prince_2019,360,#377
uk-GB107_Cavalier,350,#377
uk-GB108_A46,370,#377
uk-GB11_Caernarvon,400,#377
uk-GB11_Caernarvon_IGR,400,#377
uk-GB12_Conqueror,400,#377
uk-GB13_FV215b,410,#377
uk-GB13_FV215b_IGR,410,#377
uk-GB14_M2,320,#377
uk-GB15_Stuart_I,330,#377
uk-GB17_Grant_I,325,#377
uk-GB19_Sherman_Firefly,370,#377
uk-GB20_Crusader,370,#377
uk-GB21_Cromwell,360,#377
uk-GB21_Cromwell_IGR,360,#377
uk-GB22_Comet,380,#377
uk-GB23_Centurion,400,#377
uk-GB23_Centurion_IGR,400,#377
uk-GB24_Centurion_Mk3,410,#377
uk-GB25_Loyd_Gun_Carriage,260,#377
uk-GB26_Birch_Gun,265,#377
uk-GB27_Sexton,260,#377
uk-GB28_Bishop,250,#377
uk-GB29_Crusader_5inch,275,#377
uk-GB30_FV3805,275,#377
uk-GB31_Conqueror_Gun,290,#377
uk-GB32_Tortoise,390,#377
uk-GB33_Sentinel_AC_I,350,#377
uk-GB35_Sentinel_AC_IV,360,#377
uk-GB37_Valliant,340,#377
uk-GB39_Universal_CarrierQF2,300,#377
uk-GB40_Gun_Carrier_Churchill,340,#377
uk-GB41_Challenger,370,#377
uk-GB42_Valentine_AT,330,#377
uk-GB44_Archer,360,#377
uk-GB45_Achilles_IIC,370,#377
uk-GB48_FV215b_183,390,#377
uk-GB50_Sherman_III,370,#377
uk-GB51_Excelsior,350,#377
uk-GB52_A45,380,#377
uk-GB57_Alecto,330,#377
uk-GB58_Cruiser_Mk_III,330,#377
uk-GB59_Cruiser_Mk_IV,340,#377
uk-GB60_Covenanter,350,#377
uk-GB63_TOG_II,360,#377
uk-GB68_Matilda_Black_Prince,350,#377
uk-GB69_Cruiser_Mk_II,300,#377
uk-GB70_FV4202_105,410,#377
uk-GB70_N_FV4202_105,390,#377
uk-GB70_N_FV4202_105_FL,390,#377
uk-GB71_AT_15A,350,#377
uk-GB72_AT15,370,#377
uk-GB72_AT15_IGR,370,#377
uk-GB73_AT2,310,#377
uk-GB74_AT8,330,#377
uk-GB75_AT7,350,#377
uk-GB76_Mk_VIC,300,#377
uk-GB77_FV304,255,#377
uk-GB77_FV304_IGR,255,#377
uk-GB78_Sexton_I,330,#377
uk-GB79_FV206,265,#377
uk-GB80_Charioteer,370,#377
uk-GB81_FV4004,380,#377
uk-GB83_FV4005,390,#377
uk-GB84_Chieftain_Mk6,390,#377
uk-GB85_Cromwell_Berlin,360,#377
uk-GB86_Centurion_Action_X,410,#377
uk-GB87_Chieftain_T95_turret,380,#377
uk-GB88_T95_Chieftain_turret,400,#377
uk-GB91_Super_Conqueror,400,#377
uk-GB92_FV217,390,#377
uk-GB93_Caernarvon_AX,380,#377
uk-GB94_Centurion_Mk5-1_RAAC,400,#377
uk-GB95_Ekins_Firefly_M4A4,370,#377
uk-GB96_Excalibur,360,#377
uk-GB97_Chimera,380,#377
uk-GB98_T95_FV4201_Chieftain,410,#377
uk-GB99_Turtle_Mk1,370,#377
usa-A01_T1_Cunningham,280,#377
usa-A01_T1_Cunningham_bot,240,#377
usa-A02_M2_lt,320,#377
usa-A03_M3_Stuart,330,#377
usa-A03_M3_Stuart_bootcamp,280,#377
usa-A04_M3_Grant,320,#377
usa-A05_M4_Sherman,370,#377
usa-A05_M4_Sherman_IGR,370,#377
usa-A06_M4A3E8_Sherman,370,#377
usa-A06_M4A3E8_Sherman_training,270,#377
usa-A07_T20,390,#377
usa-A08_T23,380,#377
usa-A09_T1_hvy,330,#377
usa-A10_M6,350,#377
usa-A100_T49,410,#377
usa-A101_M56,350,#377
usa-A102_T28_concept,370,#377
usa-A103_T71E1,390,#377
usa-A103_T71E1_IGR,390,#377
usa-A104_M4A3E8A,370,#377
usa-A106_M48A2_120,400,#377
usa-A107_T1_HMC,250,#377
usa-A108_T18_HMC,250,#377
usa-A109_T56_GMC,290,#377
usa-A11_T29,380,#377
usa-A11_T29_IGR,380,#377
usa-A111_T25_Pilot,390,#377
usa-A112_T71E2,400,#377
usa-A112_T71E2R,390,#377
usa-A115_Chrysler_K,380,#377
usa-A115_Chrysler_K_GF,380,#377
usa-A116_XM551,420,#377
usa-A117_T26E5,390,#377
usa-A117_T26E5_FL,390,#377
usa-A117_T26E5_Patriot,390,#377
usa-A118_M4_Thunderbolt,370,#377
usa-A12_T32,400,#377
usa-A12_T32_FL,400,#377
usa-A120_M48A5,420,#377
usa-A120_M48A5_IGR,420,#377
usa-A121_M26_Cologne,380,#377
usa-A122_TS-5,370,#377
usa-A123_T78,370,#377
usa-A124_T54E2,400,#377
usa-A125_AEP_1,390,#377
usa-A126_PzVI_Tiger_II_capt,380,#377
usa-A127_TL_1_LPC,400,#377
usa-A128_concept_1b,400,#377
usa-A129_T6_medium,340,#377
usa-A13_T34_hvy,380,#377
usa-A13_T34_hvy_BF,380,#377
usa-A13_T34_hvy_FL,380,#377
usa-A13_T34_hvy_IGR,380,#377
usa-A130_Super_Hellcat,370,#377
usa-A14_T30,380,#377
usa-A15_T57,280,#377
usa-A16_M7_Priest,260,#377
usa-A17_M37,260,#377
usa-A18_M41,260,#377
usa-A19_T2_lt,260,#377
usa-A21_T14,330,#377
usa-A22_M5_Stuart,360,#377
usa-A22_M5_Stuart_bootcamp,340,#377
usa-A23_M7_med,360,#377
usa-A24_T2_med,320,#377
usa-A24_T2_med_bot,300,#377
usa-A25_M2_med,370,#377
usa-A25_M2_med_bootcamp,280,#377
usa-A26_T18,240,#377
usa-A27_T82,255,#377
usa-A29_T40,310,#377
usa-A30_M10_Wolverine,370,#377
usa-A31_M36_Slagger,370,#377
usa-A32_M12,270,#377
usa-A33_MTLS-1G14,280,#377
usa-A34_M24_Chaffee,360,#377
usa-A35_Pershing,400,#377
usa-A35_Pershing_IGR,400,#377
usa-A36_Sherman_Jumbo,370,#377
usa-A36_Sherman_Jumbo_bootcamp,330,#377
usa-A36_Sherman_Jumbo_IGR,370,#377
usa-A37_M40M43,290,#377
usa-A38_T92,310,#377
usa-A39_T28,370,#377
usa-A40_T95,380,#377
usa-A41_M18_Hellcat,370,#377
usa-A43_M22_Locust,330,#377
usa-A44_M4A2E4,370,#377
usa-A45_M6A2E1,380,#377
usa-A46_T3,270,#377
usa-A57_M8A1,320,#377
usa-A58_T67,340,#377
usa-A58_T67_IGR,340,#377
usa-A62_Ram-II,330,#377
usa-A63_M46_Patton,410,#377
usa-A63_M46_Patton_KR,390,#377
usa-A64_T25_AT,350,#377
usa-A66_M103,390,#377
usa-A67_T57_58,400,#377
usa-A68_T28_Prototype,380,#377
usa-A69_T110E5,400,#377
usa-A71_T21,380,#377
usa-A72_T25_2,380,#377
usa-A74_T1_E6,260,#377
usa-A78_M4_Improved,370,#377
usa-A80_T26_E4_SuperPershing,390,#377
usa-A80_T26_E4_SuperPershing_FL,390,#377
usa-A81_T95_E2,400,#377
usa-A83_T110E4,390,#377
usa-A85_T110E3,390,#377
usa-A86_T23E3,380,#377
usa-A87_M44,265,#377
usa-A88_M53_55,300,#377
usa-A89_T54E1,400,#377
usa-A90_T69,400,#377
usa-A90_T69_IGR,400,#377
usa-A92_M60,420,#377
usa-A93_T7_Combat_Car,280,#377
usa-A94_T37,370,#377
usa-A95_T95_E6,410,#377
usa-A97_M41_Bulldog,400,#377
usa-A99_T92_LT,400,#377
ussr-Observer,240,#377
ussr-R01_IS,350,#377
ussr-R02_SU-85,280,#377
ussr-R03_BT-7,350,#377
ussr-R03_BT-7_bootcamp,280,#377
ussr-R04_T-34,350,#377
ussr-R05_KV,310,#377
ussr-R06_T-28,340,#377
ussr-R06_T-28_bootcamp,320,#377
ussr-R07_T-34-85,360,#377
ussr-R07_T-34-85_bootcamp,350,#377
ussr-R07_T-34-85_training,360,#377
ussr-R08_BT-2,280,#377
ussr-R08_BT-2_bootcamp,240,#377
ussr-R09_T-26,310,#377
ussr-R09_T-26_bot,280,#377
ussr-R10_AT-1,250,#377
ussr-R100_SU122A,255,#377
ussr-R101_MT25,360,#377
ussr-R104_Object_430_II,400,#377
ussr-R105_BT_7A,290,#377
ussr-R106_KV85,340,#377
ussr-R106_KV85_IGR,340,#377
ussr-R107_LTB,380,#377
ussr-R108_T34_85M,360,#377
ussr-R109_T54S,390,#377
ussr-R11_MS-1,280,#377
ussr-R11_MS-1_bot,240,#377
ussr-R110_Object_260,400,#377
ussr-R111_ISU130,380,#377
ussr-R112_T54_45,380,#377
ussr-R112_T54_45_FL,380,#377
ussr-R113_Object_730,360,#377
ussr-R114_Object_244,340,#377
ussr-R115_IS-3_auto,350,#377
ussr-R115_IS-3_auto_test,350,#377
ussr-R116_ISU122C_Berlin,350,#377
ussr-R117_T34_85_Rudy,365,#377
ussr-R118_T28_F30,350,#377
ussr-R119_Object_777,380,#377
ussr-R119_Object_777C,390,#377
ussr-R12_A-20,360,#377
ussr-R120_T22SR_A22,400,#377
ussr-R121_KV4_KTT,350,#377
ussr-R122_T44_100,380,#377
ussr-R122_T44_100B,380,#377
ussr-R123_Kirovets_1,360,#377
ussr-R125_T_45,300,#377
ussr-R126_Object_730_5,360,#377
ussr-R127_T44_100_K,380,#377
ussr-R127_T44_100_P,380,#377
ussr-R127_T44_100_U,380,#377
ussr-R128_KV4_Kreslavskiy,360,#377
ussr-R129_Object_257,390,#377
ussr-R13_KV-1s,340,#377
ussr-R131_Tank_Gavalov,360,#377
ussr-R132_VNII_100LT,390,#377
ussr-R133_KV_122,360,#377
ussr-R134_Object_252K,350,#377
ussr-R134_Object_252U,350,#377
ussr-R135_T_103,380,#377
ussr-R139_IS_M,350,#377
ussr-R14_SU-5,250,#377
ussr-R140_M4_Loza,370,#377
ussr-R143_T_29,300,#377
ussr-R144_K_91,410,#377
ussr-R145_Object_705_A,390,#377
ussr-R146_STG,370,#377
ussr-R146_STG_Tday,370,#377
ussr-R148_Object_430_U,400,#377
ussr-R149_Object_268_4,370,#377
ussr-R15_S-51,275,#377
ussr-R151_Object_257_2,390,#377
ussr-R152_KV2_W,330,#377
ussr-R153_Object_705,380,#377
ussr-R154_T_34E_1943,340,#377
ussr-R155_Object_277,400,#377
ussr-R156_IS_2M,350,#377
ussr-R157_Object_279R,400,#377
ussr-R158_LT_432,380,#377
ussr-R159_SU_130PM,360,#377
ussr-R16_SU-18,260,#377
ussr-R160_T_50_2,370,#377
ussr-R161_T_116,320,#377
ussr-R165_Object_703_II,350,#377
ussr-R165_Object_703_II_2,350,#377
ussr-R169_ST_II,390,#377
ussr-R17_SU-100,350,#377
ussr-R170_IS_2_II,350,#377
ussr-R171_IS_3_II,380,#377
